School	Conference	Coach	SchoolPay	TotalPay	Bonus	BonusPaid	AssistantPay	Buyout
Air Force	Mt. West	Troy Calhoun	885000	885000	247000	0	0	0
Akron	MAC	Terry Bowden	411000	412500	225000	50000	0	688500
Alabama	SEC	Nick Saban	8307000	8307000	1100000	500000	0	33600000
Alabama at Birmingham	C-USA	Bill Clark	900000	900000	950000	165471	0	3847500
Appalachian State	Sun Belt	Scott Satterfield	712500	712500	295000	145000	0	2160417
Arizona	Pac-12	Kevin Sumlin	1600000	2000000	2025000	0	0	10000000
Arizona State	Pac-12	Herm Edwards	2000000	2000000	3010000	0	0	8166667
Arkansas	SEC	Chad Morris	3500000	3500000	1000000	0	0	12500000
Arkansas State	Sun Belt	Blake Anderson	825000	825000	185000	25000	0	300000
Army	Ind.	Jeff Monken	932521	932521	0	0	0	0
Auburn	SEC	Gus Malzahn	6700000	6705656	1400000	375000	0	32143750
Ball State	MAC	Mike Neu	435689	435689	380000	30000	0	980300
Baylor	Big 12	Matt Rhule	0	0	0	0	0	0
Boise State	Mt. West	Bryan Harsin	1650010	1650010	475000	145000	0	7784038
Boston College	ACC	Steve Addazio	2514859	2514859	0	0	0	0
Bowling Green	MAC	Mike Jinks	437228	437228	245000	81250	0	874456
Brigham Young	Ind.	Kalani Sitake	0	0	0	0	0	0
Buffalo	MAC	Lance Leipold	455500	455500	381000	0	0	1020833
California	Pac-12	Justin Wilcox	1500000	1500000	900000	75000	0	7208500
Central Florida	AAC	Josh Heupel	1700000	1700000	250000	0	0	3587500
Central Michigan	MAC	John Bonamego	655000	655000	415000	45000	0	1125000
Charlotte	C-USA	Brad Lambert	625000	625000	120000	0	0	556389
Cincinnati	AAC	Luke Fickell	2000000	2000000	625000	0	0	7100000
Clemson	ACC	Dabo Swinney	6205000	6543350	1125000	500000	0	35000000
Coastal Carolina	Sun Belt	Joe Moglia	400000	400000	800000	25000	0	516667
Colorado	Pac-12	Mike MacIntyre	2878500	2878500	2150000	297000	0	10314583
Colorado State	Mt. West	Mike Bobo	1800000	1800000	905000	50000	0	8000000
Connecticut	AAC	Randy Edsall	1100000	1100000	650000	129000	0	1000000
Duke	ACC	David Cutcliffe	2540928	2540928	0	0	0	0
East Carolina	AAC	Scottie Montgomery	1102500	1102500	850000	0	0	1233333
Eastern Michigan	MAC	Chris Creighton	460000	460000	395000	10000	0	950000
Florida	SEC	Dan Mullen	6070000	6070000	925000	0	0	12000000
Florida Atlantic	C-USA	Lane Kiffin	1000000	1000000	1150000	40000	0	2850000
Florida International	C-USA	Butch Davis	945000	945000	550000	35000	0	3185626
Florida State	ACC	Willie Taggart	5000000	5000000	1475000	0	0	21958333
Fresno State	Mt. West	Jeff Tedford	1550000	1550000	2765000	1240000	0	5440000
Georgia	SEC	Kirby Smart	6603600	6603600	1150000	1350000	0	27917500
Georgia Southern	Sun Belt	Chad Lunsford	650000	650000	295000	0	0	83333
Georgia State	Sun Belt	Shawn Elliott	569000	569000	220000	60000	0	1500000
Georgia Tech	ACC	Paul Johnson	3060018	3060018	1330000	225000	0	4000000
Hawaii	Mt. West	Nick Rolovich	425004	486504	1260000	0	0	300000
Houston	AAC	Major Applewhite	1750000	1750000	782500	20000	0	2112500
Illinois	Big Ten	Lovie Smith	5000000	5000000	1000000	50000	0	12636991
Indiana	Big Ten	Tom Allen	1830000	1830000	1441668	0	0	2000000
Iowa	Big Ten	Kirk Ferentz	4700000	4700000	2875000	600000	0	22396250
Iowa State	Big 12	Matt Campbell	3500000	3500000	750000	650000	0	19291667
Kansas	Big 12	David Beaty	1701109	1701109	2000000	0	0	3000000
Kansas State	Big 12	Bill Snyder	3500000	3500000	580000	50000	0	3000000
Kent State	MAC	Sean Lewis	440000	440000	406000	0	0	1150000
Kentucky	SEC	Mark Stoops	4000000	4013600	3100000	300000	0	15625000
Liberty	Ind.	Turner Gill	947281	947281	0	0	0	0
Louisiana Tech	C-USA	Skip Holtz	700000	700000	395000	0	0	2508333
Louisiana-Lafayette	Sun Belt	Billy Napier	850000	850000	435000	0	0	2671875
Louisiana-Monroe	Sun Belt	Matt Viator	390000	390000	50000	0	0	175000
Louisville	ACC	Bobby Petrino	3980434	3980434	1472917	869917	0	14056250
LSU	SEC	Ed Orgeron	3500000	3500000	1575000	100000	0	5291667
Marshall	C-USA	Doc Holliday	762570	762570	145000	55000	0	1951708
Maryland	Big Ten	DJ Durkin	2512000	2512000	625000	0	0	5096178
Massachusetts	Ind.	Mark Whipple	500000	500000	305000	20000	0	300000
Memphis	AAC	Mike Norvell	2600000	2600000	775000	185000	0	7431667
Miami (Fla.)	ACC	Mark Richt	4058061	4058061	0	0	0	0
Miami (Ohio)	MAC	Chuck Martin	524826	524826	582110	12669	0	522300
Michigan	Big Ten	Jim Harbaugh	7504000	7504000	1325000	150000	0	17111110
Michigan State	Big Ten	Mark Dantonio	4390417	4390417	650000	125000	0	7000000
Middle Tennessee	C-USA	Rick Stockstill	801504	803004	126142	65142	0	6633774
Minnesota	Big Ten	P.J. Fleck	3550000	3550000	900000	0	0	9291667
Mississippi	SEC	Matt Luke	3000000	3000000	1550000	0	0	0
Mississippi State	SEC	Joe Moorhead	2600000	2600000	1350000	0	0	0
Missouri	SEC	Barry Odom	2350000	2350000	1025000	375000	0	1912500
Navy	AAC	Ken Niumatalolo	2163000	2163000	0	0	0	0
Nebraska	Big Ten	Scott Frost	5000000	5000000	950000	0	0	25416667
Nevada	Mt. West	Jay Norvell	500000	500000	210000	0	0	900000
Nevada-Las Vegas	Mt. West	Tony Sanchez	600000	600000	260000	0	0	950000
New Mexico	Mt. West	Bob Davie	822690	823740	340000	0	0	1303294
