"","BsmtFinSF1","BsmtFinSF2","BsmtUnfSF","X1stFlrSF","X2ndFlrSF","GarageArea","WoodDeckSF","ScreenPorch","SalePrice","homeage","MSZoningisFV","MSZoningisRL","MSZoningisRM","NeighborhoodisNoRidge","NeighborhoodisNridgHt","NeighborhoodisStoneBr","Condition1isNorm","YearRemodAddis2008","YearRemodAddis2009","RoofMatlisCompShg","RoofMatlisRoll","RoofMatlisTar&Grv","BsmtQualisFa","BsmtQualisGd","BsmtQualisTA","BsmtExposureisGd","BedroomAbvGris5","FunctionalisTyp","Fireplacesis2","GarageTypeisAttchd","GarageTypeisDetchd","GarageYrBltis1934","GarageFinishisRFn","GarageFinishisUnf","GarageCarsis3","MoSoldis5"
"3",486,0,434,920,866,608,0,0,138027.716706603,9,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
"4",216,0,540,961,756,642,0,0,77133.2863187588,95,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0
"6",732,0,64,796,566,480,40,0,96237.3225834674,17,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
"7",1369,0,317,1694,0,636,255,0,170325.615973991,6,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
"9",0,0,952,1022,752,468,90,0,77630.5645696255,79,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
"10",851,0,140,1077,0,205,0,0,68970.3544374825,71,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0
"16",0,0,832,854,0,576,48,0,72927.7738797023,81,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"20",504,0,525,1339,0,294,0,0,93801.6668353747,52,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
"22",0,0,637,1108,0,280,0,0,76784.1011743451,80,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
"25",188,668,204,1060,0,270,406,0,104742.66631299,42,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1
"27",234,486,180,900,0,576,222,0,91683.8403830589,59,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1
"28",1218,0,486,1704,0,772,0,0,208125.038258279,3,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1
"29",1277,0,207,1600,0,319,288,0,113242.557371681,53,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0
"30",0,0,520,520,0,240,49,0,41010.8424285603,83,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1
"31",0,0,649,649,668,250,0,0,24136.2248530707,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"32",0,0,1228,1228,0,271,0,0,89673.8477796191,44,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
"36",0,0,1117,1132,1320,691,113,0,167746.978925768,6,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"37",0,0,1097,1097,0,672,392,0,96789.2664041119,16,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
"38",1213,0,84,1297,0,498,0,0,102967.205281612,56,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
"39",731,0,326,1057,0,246,0,0,75170.8585339614,57,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"44",280,491,167,938,0,308,145,0,78593.5821778116,35,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
"52",0,0,816,816,0,528,112,0,62158.6701844674,76,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"54",1810,0,32,1842,0,894,857,0,209652.738827143,29,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
"57",649,0,321,983,756,480,115,0,114487.097801848,11,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
"62",0,0,530,581,530,288,0,0,55433.5894621295,90,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"64",0,0,576,902,808,480,12,0,96289.4184806905,89,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
