DATE,CSUSHPINSA
1/1/1987,63.754
2/1/1987,64.154
3/1/1987,64.489
4/1/1987,64.994
5/1/1987,65.569
6/1/1987,66.239
7/1/1987,66.803
8/1/1987,67.285
9/1/1987,67.638
10/1/1987,67.917
11/1/1987,68.107
12/1/1987,68.358
1/1/1988,68.596
2/1/1988,68.928
3/1/1988,69.336
4/1/1988,69.799
5/1/1988,70.418
6/1/1988,71.077
7/1/1988,71.695
8/1/1988,72.195
9/1/1988,72.584
10/1/1988,72.832
11/1/1988,73.075
12/1/1988,73.287
1/1/1989,73.624
2/1/1989,73.973
3/1/1989,74.415
4/1/1989,74.873
5/1/1989,75.302
6/1/1989,75.703
7/1/1989,76.049
8/1/1989,76.28
9/1/1989,76.428
10/1/1989,76.493
11/1/1989,76.524
12/1/1989,76.499
1/1/1990,76.527
2/1/1990,76.587
3/1/1990,76.79
4/1/1990,77.041
5/1/1990,77.299
6/1/1990,77.504
7/1/1990,77.556
8/1/1990,77.473
9/1/1990,77.222
10/1/1990,76.906
11/1/1990,76.375
12/1/1990,75.966
1/1/1991,75.527
2/1/1991,75.249
3/1/1991,75.14
4/1/1991,75.313
5/1/1991,75.769
6/1/1991,76.253
7/1/1991,76.509
8/1/1991,76.586
9/1/1991,76.571
10/1/1991,76.286
11/1/1991,76.033
12/1/1991,75.833
1/1/1992,75.696
2/1/1992,75.652
3/1/1992,75.811
4/1/1992,76.078
5/1/1992,76.397
6/1/1992,76.602
7/1/1992,76.711
8/1/1992,76.732
9/1/1992,76.63
10/1/1992,76.601
11/1/1992,76.582
12/1/1992,76.468
1/1/1993,76.399
2/1/1993,76.331
3/1/1993,76.386
4/1/1993,76.663
5/1/1993,77.032
6/1/1993,77.518
7/1/1993,77.886
8/1/1993,78.132
9/1/1993,78.201
10/1/1993,78.177
11/1/1993,78.177
12/1/1993,78.12
1/1/1994,78.205
2/1/1994,78.211
3/1/1994,78.357
4/1/1994,78.711
5/1/1994,79.219
6/1/1994,79.712
7/1/1994,80.074
8/1/1994,80.326
9/1/1994,80.348
10/1/1994,80.31
11/1/1994,80.175
12/1/1994,80.085
1/1/1995,80.036
2/1/1995,80.006
3/1/1995,80.095
4/1/1995,80.388
5/1/1995,80.71
6/1/1995,81.086
7/1/1995,81.429
8/1/1995,81.672
9/1/1995,81.757
10/1/1995,81.747
11/1/1995,81.652
12/1/1995,81.535
1/1/1996,81.449
2/1/1996,81.422
3/1/1996,81.688
4/1/1996,82.147
5/1/1996,82.624
6/1/1996,83.073
7/1/1996,83.446
8/1/1996,83.674
9/1/1996,83.73
10/1/1996,83.656
11/1/1996,83.583
12/1/1996,83.516
1/1/1997,83.555
2/1/1997,83.619
3/1/1997,83.936
4/1/1997,84.35
5/1/1997,84.896
6/1/1997,85.43
7/1/1997,85.873
8/1/1997,86.181
9/1/1997,86.341
10/1/1997,86.438
11/1/1997,86.662
12/1/1997,86.878
1/1/1998,87.195
2/1/1998,87.405
3/1/1998,87.909
4/1/1998,88.589
5/1/1998,89.404
6/1/1998,90.224
7/1/1998,90.889
8/1/1998,91.436
9/1/1998,91.78
10/1/1998,92.027
11/1/1998,92.225
12/1/1998,92.471
1/1/1999,92.742
2/1/1999,93.008
3/1/1999,93.64
4/1/1999,94.466
5/1/1999,95.392
6/1/1999,96.394
7/1/1999,97.222
8/1/1999,97.927
9/1/1999,98.432
10/1/1999,98.867
11/1/1999,99.187
12/1/1999,99.58
1/1/2000,100
2/1/2000,100.57
3/1/2000,101.465
4/1/2000,102.541
5/1/2000,103.703
6/1/2000,104.856
7/1/2000,105.722
8/1/2000,106.521
9/1/2000,107.135
10/1/2000,107.728
11/1/2000,108.291
12/1/2000,108.792
1/1/2001,109.215
2/1/2001,109.643
3/1/2001,110.395
4/1/2001,111.248
5/1/2001,112.203
6/1/2001,113.274
7/1/2001,114.229
8/1/2001,114.99
9/1/2001,115.467
10/1/2001,115.682
11/1/2001,115.839
12/1/2001,116.055
1/1/2002,116.437
2/1/2002,116.918
3/1/2002,117.931
4/1/2002,119.211
5/1/2002,120.79
6/1/2002,122.334
7/1/2002,123.687
8/1/2002,124.729
9/1/2002,125.493
10/1/2002,126.135
11/1/2002,126.64
12/1/2002,127.149
1/1/2003,127.651
2/1/2003,128.327
3/1/2003,129.31
4/1/2003,130.49
5/1/2003,131.84
6/1/2003,133.225
7/1/2003,134.645
8/1/2003,135.963
9/1/2003,137.076
10/1/2003,137.978
11/1/2003,138.769
12/1/2003,139.632
1/1/2004,140.711
2/1/2004,142.034
3/1/2004,144.085
4/1/2004,146.182
5/1/2004,148.335
6/1/2004,150.518
7/1/2004,152.336
8/1/2004,153.813
9/1/2004,155.108
10/1/2004,156.299
11/1/2004,157.498
12/1/2004,158.674
1/1/2005,160.136
2/1/2005,161.932
3/1/2005,164.582
4/1/2005,167
5/1/2005,169.542
6/1/2005,172.013
7/1/2005,174.096
8/1/2005,175.923
9/1/2005,177.612
10/1/2005,178.755
11/1/2005,179.678
12/1/2005,180.112
1/1/2006,180.833
2/1/2006,181.504
3/1/2006,182.752
4/1/2006,183.649
5/1/2006,184.381
6/1/2006,184.551
7/1/2006,184.615
8/1/2006,184.413
9/1/2006,184.206
10/1/2006,184.061
11/1/2006,183.637
12/1/2006,183.235
1/1/2007,182.724
2/1/2007,182.477
3/1/2007,182.2
4/1/2007,182.138
5/1/2007,181.892
6/1/2007,181.548
7/1/2007,181.001
8/1/2007,180.243
9/1/2007,179.131
10/1/2007,177.541
11/1/2007,175.174
12/1/2007,173.349
1/1/2008,171.088
2/1/2008,169.201
3/1/2008,167.913
4/1/2008,167.331
5/1/2008,167.029
6/1/2008,166.548
7/1/2008,165.726
8/1/2008,164.291
9/1/2008,161.924
10/1/2008,159.171
11/1/2008,156.079
12/1/2008,152.554
1/1/2009,149.373
2/1/2009,147.629
3/1/2009,146.527
4/1/2009,146.957
5/1/2009,148.185
6/1/2009,149.81
7/1/2009,150.756
8/1/2009,150.672
9/1/2009,149.631
10/1/2009,148.591
11/1/2009,147.949
12/1/2009,146.679
1/1/2010,145.003
2/1/2010,143.057
3/1/2010,143.596
4/1/2010,145.395
5/1/2010,147.027
6/1/2010,147.69
7/1/2010,147.545
8/1/2010,146.404
9/1/2010,144.59
10/1/2010,143.125
11/1/2010,141.825
12/1/2010,140.637
1/1/2011,139.047
2/1/2011,137.743
3/1/2011,137.792
4/1/2011,139.155
5/1/2011,140.684
6/1/2011,141.934
7/1/2011,142.329
8/1/2011,141.772
9/1/2011,140.156
10/1/2011,138.399
11/1/2011,136.655
12/1/2011,135.158
1/1/2012,134.163
2/1/2012,133.997
3/1/2012,135.872
4/1/2012,138.484
5/1/2012,141.062
6/1/2012,143.18
7/1/2012,144.29
8/1/2012,144.711
9/1/2012,144.365
10/1/2012,143.977
11/1/2012,143.971
12/1/2012,143.878
1/1/2013,144.318
2/1/2013,145.165
3/1/2013,147.967
4/1/2013,150.982
5/1/2013,153.877
6/1/2013,156.447
7/1/2013,158.308
8/1/2013,159.417
9/1/2013,159.696
10/1/2013,159.579
11/1/2013,159.387
12/1/2013,159.308
1/1/2014,159.402
2/1/2014,159.908
3/1/2014,161.224
4/1/2014,163
5/1/2014,164.713
6/1/2014,166.24
7/1/2014,167.163
8/1/2014,167.478
9/1/2014,167.27
10/1/2014,166.939
11/1/2014,166.689
12/1/2014,166.498
1/1/2015,166.3
2/1/2015,166.693
3/1/2015,168.151
4/1/2015,170.026
5/1/2015,171.904
6/1/2015,173.505
7/1/2015,174.551
8/1/2015,174.998
9/1/2015,175.113
10/1/2015,175.124
11/1/2015,175.225
12/1/2015,175.203
1/1/2016,175.12
2/1/2016,175.361
3/1/2016,176.68
4/1/2016,178.574
5/1/2016,180.43
6/1/2016,182.016
7/1/2016,183.133
8/1/2016,183.785
9/1/2016,184.086
10/1/2016,184.169
11/1/2016,184.394
12/1/2016,184.581
1/1/2017,184.834
2/1/2017,185.217
3/1/2017,186.724
4/1/2017,188.731
5/1/2017,190.736
6/1/2017,192.477
7/1/2017,193.736
8/1/2017,194.588
9/1/2017,195.073
10/1/2017,195.346
11/1/2017,195.724
12/1/2017,196.133
1/1/2018,196.402
2/1/2018,197.199
3/1/2018,198.879
4/1/2018,200.934
5/1/2018,202.811
6/1/2018,204.378
7/1/2018,205.292
8/1/2018,205.66
9/1/2018,205.824
