YEAR	TICKET_SALES	CONTRIBUTIONS	RIGHTS_LICENSING	STUDENT_FEES	SCHOOL_FUNDS	OTHER	TOTAL REVENUES
2017	$72,457,216	$46,019,194	$86,180,263	$0	$0	$10,173,974	$214,830,647
2016	$60,870,893	$42,159,118	$75,014,854	$0	$0	$9,936,293	$187,981,158
2015	$63,288,302	$44,273,349	$62,860,081	$0	$0	$13,099,296	$183,521,028
2014	$53,655,400	$37,633,031	$60,722,436	$0	$0	$9,024,320	$161,035,187
2013	$60,860,735	$37,386,271	$58,771,963	$0	$0	$8,672,517	$165,691,486
2012	$59,207,378	$40,747,347	$53,892,048	$0	$0	$9,448,342	$163,295,115
2011	$61,196,689	$37,337,126	$42,235,860	$0	$0	$9,526,251	$150,295,926
2010	$56,741,662	$37,110,292	$40,852,523	$0	$0	$8,850,877	$143,555,354
2009	$55,394,209	$37,291,370	$36,599,167	$0	$0	$9,174,403	$138,459,149
2008	$44,691,119	$35,057,421	$31,474,843	$1,832,229	$0	$7,232,758	$120,288,370
2007	$44,562,934	$27,190,731	$23,707,231	$1,884,145	$0	$7,703,591	$105,048,632
2006	$34,280,260	$26,507,774	$26,138,688	$1,690,855	$0	$9,139,199	$97,756,776
2005	$33,507,576	$22,324,445	$23,167,106	$1,673,928	$1,353,382	$7,625,245	$89,651,682
2017	$47,458,538	$93,134,590	$61,308,222	$0	$0	$10,058,684	$211,960,034
2016	$47,784,673	$75,457,474	$57,856,867	$0	$0	$13,289,436	$194,388,450
2015	$45,825,167	$92,062,837	$47,023,255	$0	$0	$7,697,617	$192,608,876
2014	$36,748,041	$36,312,515	$37,477,161	$0	$1,241,457	$7,696,698	$119,475,872
2013	$35,235,435	$15,291,423	$35,639,673	$0	$590,973	$7,200,402	$93,957,906
2012	$35,025,741	$53,388,379	$19,652,799	$0	$5,200,000	$6,435,303	$119,702,222
2011	$32,771,997	$18,059,015	$29,984,679	$0	$9,856	$6,470,985	$87,296,532
2010	$32,456,438	$20,512,889	$24,159,053	$0	$0	$5,645,753	$82,774,133
2009	$30,348,202	$32,943,519	$24,250,954	$0	$4,463,380	$6,115,357	$98,121,411
2008	$30,144,815	$28,341,873	$25,092,392	$0	$3,264,000	$5,633,066	$92,476,146
2007	$27,863,458	$13,133,059	$23,101,772	$0	$3,790,000	$5,776,063	$73,664,352
2006	$26,294,476	$23,310,634	$15,956,890	$0	$375,000	$4,776,549	$70,713,549
2005	$24,732,135	$17,559,797	$16,561,407	$0	$839,348	$4,487,766	$64,180,453
2017	$61,560,351	$37,612,937	$67,221,825	$0	$65,356	$18,949,133	$185,409,602
2016	$61,362,320	$33,138,103	$60,429,212	$0	$77,139	$15,782,991	$170,789,765
2015	$63,149,938	$32,951,072	$57,144,221	$0	$75,470	$13,845,364	$167,166,065
2014	$56,002,638	$28,201,658	$49,940,846	$0	$0	$11,087,539	$145,232,681
2013	$54,598,907	$22,204,606	$45,768,835	$0	$0	$17,066,959	$139,639,307
2012	$49,107,015	$19,106,302	$40,585,287	$0	$0	$33,244,453	$142,043,057
2011	$50,009,395	$17,636,938	$43,597,090	$0	$0	$20,572,398	$131,815,821
2010	$39,515,387	$27,327,347	$44,541,662	$0	$0	$11,789,780	$123,174,176
2009	$40,776,260	$27,321,161	$37,542,281	$0	$0	$14,071,879	$119,711,581
2008	$38,608,138	$27,556,385	$37,511,928	$0	$0	$12,060,571	$115,737,022
2007	$42,851,925	$24,808,496	$29,346,675	$0	$3,189	$12,371,937	$109,382,222
2006	$42,104,738	$23,070,587	$28,890,246	$0	$9,911	$10,629,370	$104,704,852
2005	$34,073,089	$19,829,556	$25,937,634	$0	$5,429	$9,855,271	$89,700,979
2017	$55,327,816	$38,879,908	$72,426,033	$0	$280,647	$18,258,783	$185,173,187
