rank	school	conf	total_rev	total_exp	total_all	perc_all
1	Texas	Big 12	214830647	207022323	0	0.00
2	Texas A&M	SEC	211960034	146546229	0	0.00
3	Ohio State	Big Ten	185409602	173507435	0	0.00
4	Michigan	Big Ten	185173187	175425392	280647	0.15
5	Alabama	SEC	174307419	158646962	2938948	1.69
6	Georgia	SEC	157852479	119218908	3273422	2.07
7	Oklahoma	Big 12	155238481	132910780	0	0.00
8	Florida	SEC	149165475	131789499	1567806	1.05
9	LSU	SEC	147744233	131717421	0	0.00
10	Auburn	SEC	147511034	132885979	3633521	2.46
11	Tennessee	SEC	145653191	134880229	0	0.00
12	Oregon	Pac-12	145417315	119945650	271222	0.19
13	Florida State	ACC	144514413	143373261	7446443	5.15
14	Penn State	Big Ten	144017055	138724055	0	0.00
15	Wisconsin	Big Ten	143420668	142930591	2843000	1.98
16	South Carolina	SEC	136032845	129317382	0	0.00
17	Kentucky	SEC	130706744	125333866	0	0.00
18	Iowa	Big Ten	130681467	128869211	650000	0.50
19	Arkansas	SEC	129680808	112902474	0	0.00
20	Washington	Pac-12	128745183	123503513	3742614	2.91
21	Michigan State	Big Ten	126021377	117506272	901057	0.72
22	Louisville	ACC	120445303	118383769	5383718	4.47
23	Nebraska	Big Ten	120205090	112571632	0	0.00
24	Mississippi	SEC	117834511	108885512	2784879	2.36
25	Minnesota	Big Ten	116376862	114201678	14817134	12.73
26	Clemson	ACC	112600964	111126235	5472888	4.86
27	West Virginia	Big 12	110565870	89196193	4167480	3.77
28	Indiana	Big Ten	106139192	106131819	2569044	2.42
29	UCLA	Pac-12	104106646	104106646	2708118	2.60
30	Arizona State	Pac-12	101579860	98825395	18866371	18.57
31	Mississippi State	SEC	100062237	86351432	0	0.00
32	Missouri	SEC	97848195	102409131	1015000	1.04
33	Illinois	Big Ten	97447731	100739817	3281700	3.37
34	Rutgers	Big Ten	96883027	99193280	33087478	34.15
35	North Carolina	ACC	96551626	96540823	8785137	9.10
36	Kansas	Big 12	95251461	94709233	1920908	2.02
37	Maryland	Big Ten	94881357	94796897	14473659	15.25
38	Colorado	Pac-12	94226111	90640627	12577570	13.35
39	Virginia	ACC	92865175	100324517	13942471	15.01
40	Oklahoma State	Big 12	91644865	89833094	3673085	4.01
41	Arizona	Pac-12	90976758	91756963	10069281	11.07
42	California	Pac-12	90976576	106959739	0	0.00
43	Texas Tech	Big 12	88804476	86984083	5799878	6.53
44	Virginia Tech	ACC	87427526	90716423	8888537	10.17
